label,comments
0,Wolqqa immo niyo
0,Tumaa gaasa  ta ishawu
1,Ne laafa asa
0,Wuuqqiyogee  nagara
0,Wonttonaassi minjjiyogaa meezeta
0,Issibaanne hiraysuwan  bayzzoppa
0,Mali malaara manddarees giida
1,Cinashshay  nemalaa demadasa buuqay  kinssay
1,Tuma nena dosiyoogaa keenaa exxaas
1,Kasseka gaayiya sarbbiya  asa malataasa
1,Laa xeeliyo wode payya asa malatasashin hagaa nuna cayssanawu yedday
0,Wolqqa immo niyo
0,Tumaa gaasa  ta ishawu
1,Ne laafa asa
0,Wuuqqiyogee  nagara
0,Wonttonaassi minjjiyogaa meezeta
0,Issibaanne hiraysuwan  bayzzoppa
0,Mali malaara manddarees giida
1,Cinashshay  nemalaa demadasa buuqay  kinssay
1,Tuma nena dosiyoogaa keenaa exxaas
1,Kasseka gaayiya sarbbiya  asa malataasa
1,Laa xeeliyo wode payya asa malatasashin hagaa nuna cayssanawu yedday
1,Xoossoo ayfee  kehaa be'o hekko hai''kka ha  laafa oosuwa oottay 
1,Ishawu neeni  pattenna  asa gidiyogaa eras
0,Laa hagee awa heeree?
0,Asa coo cayoppa
1,Som''uwaara  oshay
1,Tumu cinashsha ne
1,Laa ayba laafabaa hanay tayshawu? Hakko Xalahee xoossaa suntan
1,Goyiyagee
1,Maganxxay siiriyaara  yo niyo
1,Hagee goyichchideeyye
0,Tumaa odin lanccissiyaabi  baawa
0,Laafana haattay kanaa mees 
1,Cinashshay nenakka asa gaada Wolaytta cay metoy  baawa
1,Taani aybakka giikke neeni adan guuxxa
1, cinashshappe kehaka  
1,Xoossi nena hegaadan lafetto haakka ne guuttay
0,"Koyrotada mayuwa maya ne bola be""anawu koyiyyi baa"
1,Kokay ne eeyya asa
1,Hiyeeseena'ay nuunaara neeni mulekka laggetakka
1,Haakka  ne kana malay 
0,"Ne dabboti haniyobaa be""ayi ta ishawu"
1,Tuuyi Xalahiya kushiyan guulloy xayenna giida wonikka
1,Kasikka nu naati ammanttekketa dolomite
1,Kaysoy bullaalay qammi wuuqqaydda aqadasa
0,Ha giddon asan erettana giidi hayqqees
1,Hagee goppillay  waanichchidee  hagaassi yootiyabi baawee
1,Ha goyiya salggu malay I bawu awuppe yiidee?
0,Minna tayshawu azalloppa
0,Aayyiya nena yelu tayshawu!
0,"Yeletta, laa ne mala tawukka immo!"
0,Goobay oottada minna
0,Aayyiya yelu  inttena ubbaakka
1,Deree ha gooyiyagaa qachchekketii
0,Xoossay nuna  ubbaakka saro gatto matiichchida
0,Iitay bochchoppo nu naata
0,Harabay  xayoppe attin nuna  Gifaata bonchcho diggiyaabi baawa
0,Gifaataa Wolaytta deriya laytta laamiya baaliya ammanuwaara gattiyogee gamma gidenna
1,neyo ayiya awi baweye ha galijje haka xossa sunttani
1,ha akeki bayina tuniya awuppe yade 
1,yesusa sunttan cadetta hana kawushiya macca gidiyoga dogadeye 
1,xossayi neyo kiyiyosan gelisyosan haniyoba xayiso hana wanayi dere
1,neni macca asa anne woppu gada uttaga tuniya
1,hana tuke kettani ottena aguku dubbayen haku ha tuniya
1,ne malla lafaa asi bawa neni ayiba gidada o madayi ha sanitawu
1,ne donna kundada daka nenika asara lagettada asaa bollan hasayayi
1,diccopa haka ha shululutte
1,neyo nagarattene ha tunawu ha donani neni xosaa suntta xesiyode
1,kundanawu eqqada jamasa ha bawuttawu
1,ha wozzani bayinani co ordida bawuttawu woyigayi
1,damayi co qoppena yidaba hasayagoppa 
1,qoppennan daydda mizadani asa bollani hasayoppa 
1,damayi co qoppenan macca natta cayoppa
1,Mehee maata ma baada
0,Goobay haykka minna
0,Awudenne morkkiyassi kushiya immoppa
0,Minoy miixaa naagees 
1,Kanssay kariya kasennan hemettees
1,Laafay
1,Azallay 
1,Wonikka inttesoy otoro danddayekketa suuppati
1,wolayttati wonikka otoruwawu  iita 
1,Say guuttaa  zaarikko danddayettekketa biitta gido inttiyo 
1,Kace kiya gin goyna gidoppa ane
0,Minnidi oottiday kallidi mees
0,Gamma  gaakadasa tayshaw awudenne asa ammanettoppa
1,Ha bukkanaaniya iraa malatiya xumay waanii
1,Ne doonay xinqqees taakko shiiqoppa
1,Inttiyo zigirssappe hara oosoy baawee haakkite
1,"Ayssi ne bawu  lo""ennabaa hanay awunne gakkakka"
1,Asaa issuwa issuwaara ooshshiyogee niyo ooso pattennaagee
0,Ane odo xalaalaa hottayiyogaa aggada oosuwaassi minna
0,Tayshawu yayyoppa Xoona naati mino
0,Nunaara diyagee ubbaa xooniyagaa minna laafoppa
0,Nuni ha hanenna haasayaa siyokko 
0,"Wuuwuy duussaa al""otettay wotuwa diggiis"
1,Neeni oona gidido gishshawu ayyay?
1,Intte Kawo naatu soo bidinttati
1,bidinttati
0,Woraabi Wogga Wolayttawu zooxa neegaa
0,Kawo Xooni Wolqqaama Wolaytta Kawo
1,Badamoy  nena baassan kessenna mala naagetta
1,Borkku boccin boccana xaykka assi sulay attenna
0,"Ta  na""awu tawu injjetadasa zawa gakka "
1,Hayttay kehaa siya ha bulla kaysoy awuppe yiidee?
0,Ta ishawu oonakkoo siyoppa
0,Cayettanawu koshshenna sarotettaa medhdhana bessees
0,chaahotaa aggidi issippetettaa minttana bessees
1,cinashe na cinashawu bonchetiyako keha niyo samayi
1,dorisiya
1,gisiliya neni koyiro hagamalaba wattada yedayi damiya
1,xosayi cayo nena ha kane neni macca asaa gidiki
1,halliqumiya nena bonchisa ha kawushe
1,wolayita macca natu suntta morayi ha kawushe kawuya
1,macca miziyaa yesidi ekiyora keha neppe mizappe mizziya
1,hariya mallatiyara bidopa
1,niyo ne dona xosayi gorido goridetta 
1,tuniya niyo yani bada tuna nu natta cayisoppa
1,Agga bii ha kinssee asa bolli doonaa dooyoppa
1,Dichchaa aggida ha durumay ay lo''iya bollaa asa bessay
1,Laa ha ducanaassi ne oduwa siyikko yoota ane
1,Uluwaara shodhdhee hagee ayba asee
0,Hagee laytta Xoossa laytta iitabaa haasayoppite
0,Ini gallassi tumabaa neeni haasayin taani keehippe ufayttaas
0,Dees gaada immada ashshido gishshawu xayoppo niyo
0,Xoossay galatetto deretettaa dooroy saruwan polettiis 
1,Ha kaneenawu  asa bollan donaa coo dooyiyoogaa essa
1,Ha xinqqiyagoo naagettiyakko kehennee?
0,Ha hanenna haasayay simmidi nena meenna mala naagetta
0,Xossay  niyo atto go sima taani giyobi bawa ta ishawu 
1,Neeni awuppe yiidaakkonne dogaychchada ambbaa naatu bolli haasayay
0,Xoossay ta ceequwa
0,Ekettiyaba xalaala haasaya tayshawu
0,Taani neeppe hegaa mulekka naagabeykke
0,Laa hinna ne michchiya puula taassi O oyhchcharkkii
0,Hanna niyo michcho gidennan aggukku nena milatawusu 
1,Neegaa gidiyaakko hagaadan wadhdhakka paliya 
1,Bolla bonddiya maanawu hagaadan gooyay haakka iitay
1,Waasso niyo nu heeray ne cabbo xallan ubba wode balbbuqettees
0,Ne machcheeppe haraa xeelloppa nena gattiyay baawa
1,Nebaa Xoossi be'o gakkennan coo gakkasa oyshetta ne
1,Xalahee 
1,Xoossay inttena oychcho ha palaa taani awude siyidanaa?
0,Tuma ha asi Xoossa asa A coo bochchoppite
0,Ammaniyaageetoo intte ammanuwa mintti oyqqite
0,Taani koyyidobaa hanada daana inttena aybi gattii?
0,Koyaadan simerettiyoogee kawotettaa seeran xorgganissees
0,Xoossay ubbaa Danddayees
0,Saluwan sa'an maata ubbay Xoossaabaa
0,Xoossa metiyaabi aybinne baawa
0,Aayenttoo Xoossay inttena maaddo
0,Godi maaddo nena dosada hanakka neeni
0,Tayshawu ushshaa aggada Xoossaa ammana
0,Ne ammanuwan gencca Xoossaara giiga
0,Xoossoo nu nagaraa atto garkkii ne maaarotan nuna qoppa
0,xoosso neyo holla ha bitta asayi wosite goday ubba dandayes
0,Inttiyonne haratussikka woossite
0,Xoossay nu henttanchchaa
1,Ha shareechchoy qassi aybaa haasayii?
0,Nu hidootay Xoossaa
0,Miiccoppa achchaara yees giida
0,Asa worana gaada halchchoppa koyrottada niyo hayqqenna mala
0,Tawu wolqqay diyo gishshawu ooninne tana xoonenna gooppa 
0,Wolqqaamawu wolqqaaway dees giida
0,Hagee Xoossawu danddayettees asappe naagoppa
0,Xoossoo nuna ashsha ekka ha iita layttaappe 
1,Ushshaa uyiiddi woosa keettaa biyageetoo Xoossay intte bolli pirddana dees
0,Wolqqay paccido asa bollan naacoppite intte wonttuwa erekketa 
0,Xoossoo nu omarssaa mooroppa
0,Biti bitaawa gakko!
0,Yiya layttiyo xillikko pinna!
1,Ne miishshay tumu ogiyaara shiiqibeenna 
1,Xoossi baynna duretay awakka gattenna
1,Ooninne aynne kessenna gawusu ha doonanchchiya
0,Tumaa daannay Xoossaa
1,Yesuusa suntta hakko nenan diya iita ayyaanay 
0,Hanna nu shooro mishiriyo malatawusu
0,Xoossi baynna asaa wurssettay lo''enna
0,Tummakka Xoossi omarssa loytto giidi woossana bessees
0,Xoossaa xomoosoy neekko gakko
0,Gakkennan gakkiyabaappe Xoossi ashsho!
0,Xillo oosuwaa Xoossaynne asaykka dosees
0,Neno tayshawu asa bolli wordduwa markkattoppa
0,Asaa ooshshiyagoo ne iita oosoy qonccana dees
0,Xoossoo nuna wurssada niyo haara
1,Ne bolli de'iya iita ayyaanay yesuusa sunttan cadetto 
0,Atto go inttiyo eridi hanekketa intte
1,Maccanay hagaadan waanidi hanii haakku ha kawushshiya
1,Haakka iitay hagee awudeppe doommidi gooyidee kase saro gedeneeshsho
0,Heeraa sarotettey naagetto
